,ibns_20u,vgs_m1,name,type,time,OK
0,21.829980000000003,0.6882688,tran_SchGtKttmmTtVt_29,Sch,Fri Nov 29 13:06:09 2024,True
1,20.46978,0.686279,tran_SchGtKttmmTtVt_28,Sch,Fri Nov 29 13:06:08 2024,True
2,20.153380000000002,0.6862603,tran_SchGtKttmmTtVt_27,Sch,Fri Nov 29 13:06:08 2024,True
3,20.94079,0.6873839,tran_SchGtKttmmTtVt_26,Sch,Fri Nov 29 13:06:07 2024,True
4,20.66615,0.6850257,tran_SchGtKttmmTtVt_25,Sch,Fri Nov 29 13:06:06 2024,True
5,19.05407,0.6803329,tran_SchGtKttmmTtVt_24,Sch,Fri Nov 29 13:06:05 2024,True
6,21.28091,0.6893229,tran_SchGtKttmmTtVt_23,Sch,Fri Nov 29 13:06:04 2024,True
7,21.06884,0.6879329,tran_SchGtKttmmTtVt_22,Sch,Fri Nov 29 13:06:04 2024,True
8,20.508640000000003,0.6826502,tran_SchGtKttmmTtVt_21,Sch,Fri Nov 29 13:06:03 2024,True
9,21.524990000000003,0.6882317,tran_SchGtKttmmTtVt_20,Sch,Fri Nov 29 13:06:02 2024,True
10,21.42811,0.686994,tran_SchGtKttmmTtVt_19,Sch,Fri Nov 29 13:06:01 2024,True
11,20.05196,0.6831885,tran_SchGtKttmmTtVt_18,Sch,Fri Nov 29 13:06:01 2024,True
12,19.772129999999997,0.6825299,tran_SchGtKttmmTtVt_17,Sch,Fri Nov 29 13:06:00 2024,True
13,22.31975,0.6904601,tran_SchGtKttmmTtVt_16,Sch,Fri Nov 29 13:05:59 2024,True
14,20.51602,0.6873572,tran_SchGtKttmmTtVt_15,Sch,Fri Nov 29 13:05:58 2024,True
15,19.80286,0.685846,tran_SchGtKttmmTtVt_14,Sch,Fri Nov 29 13:05:57 2024,True
16,19.776030000000002,0.6845332,tran_SchGtKttmmTtVt_13,Sch,Fri Nov 29 13:05:57 2024,True
17,23.19969,0.6941749,tran_SchGtKttmmTtVt_12,Sch,Fri Nov 29 13:05:56 2024,True
18,19.32106,0.6834195,tran_SchGtKttmmTtVt_11,Sch,Fri Nov 29 13:05:55 2024,True
19,21.04561,0.6852592,tran_SchGtKttmmTtVt_10,Sch,Fri Nov 29 13:05:54 2024,True
20,19.369400000000002,0.6818912,tran_SchGtKttmmTtVt_9,Sch,Fri Nov 29 13:05:53 2024,True
21,21.359029999999997,0.6894782,tran_SchGtKttmmTtVt_8,Sch,Fri Nov 29 13:05:53 2024,True
22,20.57103,0.6866423,tran_SchGtKttmmTtVt_7,Sch,Fri Nov 29 13:05:52 2024,True
23,19.31063,0.6836427,tran_SchGtKttmmTtVt_6,Sch,Fri Nov 29 13:05:51 2024,True
24,22.96495,0.6928747,tran_SchGtKttmmTtVt_5,Sch,Fri Nov 29 13:05:50 2024,True
25,19.636210000000002,0.6813228,tran_SchGtKttmmTtVt_4,Sch,Fri Nov 29 13:05:50 2024,True
26,20.98414,0.6888999,tran_SchGtKttmmTtVt_3,Sch,Fri Nov 29 13:05:49 2024,True
27,20.51584,0.6861103,tran_SchGtKttmmTtVt_2,Sch,Fri Nov 29 13:05:48 2024,True
28,20.67552,0.685772,tran_SchGtKttmmTtVt_1,Sch,Fri Nov 29 13:05:47 2024,True
29,19.753330000000002,0.6822096,tran_SchGtKttmmTtVt,Sch,Fri Nov 29 13:05:46 2024,True
